A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
8  	B      	5 	3  	0.0000	2+         	22921.569   	1.000   	770 MS 3         	0.77                         	        	       	EA      	100          
9  	B      	5 	4  	0.0000	3/2-       	12416.486   	0.903   	0.54 KEV 21      	8.448846575396032e-19        	        	       	P       	100          
10 	B      	5 	5  	0.0000	3+         	12050.611   	0.015   	STABLE           	infinity                     	19.65   	0.44   	        	             
11 	B      	5 	6  	0.0000	3/2-       	8667.708    	0.012   	STABLE           	infinity                     	80.35   	0.44   	        	             
12 	B      	5 	7  	0.0000	1+         	13369.398   	1.321   	20.20 MS 2       	0.0202                       	        	       	B-      	100          
12 	B      	5 	7  	0.0000	1+         	13369.398   	1.321   	20.20 MS 2       	0.0202                       	        	       	BA      	0.6          
13 	B      	5 	8  	0.0000	3/2-       	16561.948   	1.000   	17.33 MS 17      	0.01733                      	        	       	B-      	100          
13 	B      	5 	8  	0.0000	3/2-       	16561.948   	1.000   	17.33 MS 17      	0.01733                      	        	       	B-N     	0.286        
14 	B      	5 	9  	0.0000	2-         	23663.686   	21.213  	12.5 MS 5        	0.0125                       	        	       	B-      	100          
14 	B      	5 	9  	0.0000	2-         	23663.686   	21.213  	12.5 MS 5        	0.0125                       	        	       	B-N     	6.1          
15 	B      	5 	10 	0.0000	           	28957.379   	21.029  	9.93 MS 7        	0.00993                      	        	       	B-      	100          
15 	B      	5 	10 	0.0000	           	28957.379   	21.029  	9.93 MS 7        	0.00993                      	        	       	B-N     	99.68        
16 	B      	5 	11 	0.0000	           	37111.699   	24.566  	100 KEV          	4.5623771507138576e-21       	        	       	N       	100          
17 	B      	5 	12 	0.0000	(3/2-)     	43716.322   	204.104 	5.08 MS 5        	0.00508                      	        	       	B-      	100          
17 	B      	5 	12 	0.0000	(3/2-)     	43716.322   	204.104 	5.08 MS 5        	0.00508                      	        	       	B-N     	63           
17 	B      	5 	12 	0.0000	(3/2-)     	43716.322   	204.104 	5.08 MS 5        	0.00508                      	        	       	B2N     	11           
18 	B      	5 	13 	0.0000	(2-)       	51792.640   	204.165 	                 	                             	        	       	N       	100          
19 	B      	5 	14 	0.0000	3/2-       	59770.251   	525.363 	2.92 MS 13       	0.00292                      	        	       	B-      	100          
19 	B      	5 	14 	0.0000	3/2-       	59770.251   	525.363 	2.92 MS 13       	0.00292                      	        	       	B-N     	71.8         
19 	B      	5 	14 	0.0000	3/2-       	59770.251   	525.363 	2.92 MS 13       	0.00292                      	        	       	B2N     	16           
20 	B      	5 	15 	0.0000	(1- 2-)    	69401.569   	546.357 	500 KEV          	9.124754301427716e-22        	        	       	N       	100          
21 	B      	5 	16 	0.0000	(3/2-)     	78382.887   	558.664 	600 KEV          	7.603961917856429e-22        	        	       	2N      	100          
8  	C      	6 	2  	0.0000	0+         	35064.269   	18.243  	130 KEV 50       	3.509520885164506e-21        	        	       	2P      	100          
9  	C      	6 	3  	0.0000	3/2-       	28910.971   	2.137   	126.5 MS 10      	0.1265                       	        	       	EC      	100          
9  	C      	6 	3  	0.0000	3/2-       	28910.971   	2.137   	126.5 MS 10      	0.1265                       	        	       	EP      	62           
9  	C      	6 	3  	0.0000	3/2-       	28910.971   	2.137   	126.5 MS 10      	0.1265                       	        	       	EA      	37.9         
10 	C      	6 	4  	0.0000	0+         	15698.673   	0.070   	19.290 S 12      	19.29                        	        	       	EC      	100          
11 	C      	6 	5  	0.0000	3/2-       	10649.397   	0.060   	20.364 M 14      	1221.84                      	        	       	EC      	100          
12 	C      	6 	6  	0.0000	0+         	0.0         	0.0     	STABLE           	infinity                     	98.94   	0.06   	        	             
13 	C      	6 	7  	0.0000	1/2-       	3125.00933  	0.00023 	STABLE           	infinity                     	1.06    	0.06   	        	             
14 	C      	6 	8  	0.0000	0+         	3019.89328  	0.00375 	5700 Y 30        	179874478055.1744            	        	       	B-      	100          
15 	C      	6 	9  	0.0000	1/2+       	9873.145    	0.800   	2.449 S 5        	2.449                        	        	       	B-      	100          
16 	C      	6 	10 	0.0000	0+         	13694.133   	3.578   	0.747 S 8        	0.747                        	        	       	B-      	100          
16 	C      	6 	10 	0.0000	0+         	13694.133   	3.578   	0.747 S 8        	0.747                        	        	       	B-N     	99           
17 	C      	6 	11 	0.0000	3/2+       	21031.880   	17.365  	193 MS 6         	0.193                        	        	       	B-      	100          
