A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
73 	SE     	34	39 	0.0000	9/2+       	-68227.396  	7.424   	7.15 H 9         	25740                        	        	       	EC      	100          
74 	SE     	34	40 	0.0000	0+         	-72213.210  	0.015   	STABLE           	infinity                     	0.86    	0.03   	        	             
75 	SE     	34	41 	0.0000	5/2+       	-72169.489  	0.073   	119.78 D 5       	10348992                     	        	       	EC      	100          
76 	SE     	34	42 	0.0000	0+         	-75251.959  	0.016   	STABLE           	infinity                     	9.23    	0.07   	        	             
77 	SE     	34	43 	0.0000	1/2-       	-74599.497  	0.062   	STABLE           	infinity                     	7.60    	0.07   	        	             
78 	SE     	34	44 	0.0000	0+         	-77025.952  	0.179   	STABLE           	infinity                     	23.69   	0.22   	        	             
79 	SE     	34	45 	0.0000	7/2+       	-75917.466  	0.223   	3.27E+5 Y 28     	10319114793691.584           	        	       	B-      	100          
80 	SE     	34	46 	0.0000	0+         	-77759.487  	0.947   	STABLE           	infinity                     	49.80   	0.36   	2B-     	             
81 	SE     	34	47 	0.0000	1/2-       	-76389.019  	0.977   	18.45 M 12       	1107                         	        	       	B-      	100          
82 	SE     	34	48 	0.0000	0+         	-77593.895  	0.466   	9.6E+19 Y 10     	3.029464893560832e27         	8.82    	0.15   	2B-     	100          
83 	SE     	34	49 	0.0000	9/2+       	-75340.543  	3.036   	22.3 M 2         	1338                         	        	       	B-      	100          
84 	SE     	34	50 	0.0000	0+         	-75947.731  	1.961   	3.26 M 10        	195.6                        	        	       	B-      	100          
85 	SE     	34	51 	0.0000	(5/2)+     	-72413.645  	2.613   	32.9 S 3         	32.9                         	        	       	B-      	100          
86 	SE     	34	52 	0.0000	0+         	-70503.175  	2.520   	14.3 S 3         	14.3                         	        	       	B-      	100          
87 	SE     	34	53 	0.0000	(3/2+)     	-66426.133  	2.241   	5.50 S 14        	5.5                          	        	       	B-      	100          
87 	SE     	34	53 	0.0000	(3/2+)     	-66426.133  	2.241   	5.50 S 14        	5.5                          	        	       	B-N     	0.36         
88 	SE     	34	54 	0.0000	0+         	-63884.203  	3.357   	1.53 S 6         	1.53                         	        	       	B-      	100          
88 	SE     	34	54 	0.0000	0+         	-63884.203  	3.357   	1.53 S 6         	1.53                         	        	       	B-N     	0.99         
89 	SE     	34	55 	0.0000	(5/2+)     	-58992.398  	3.729   	0.43 S 5         	0.43                         	        	       	B-      	100          
89 	SE     	34	55 	0.0000	(5/2+)     	-58992.398  	3.729   	0.43 S 5         	0.43                         	        	       	B-N     	7.8          
90 	SE     	34	56 	0.0000	0+         	-55800.223  	329.749 	195 MS +95-65    	0.195                        	        	       	B-      	100          
90 	SE     	34	56 	0.0000	0+         	-55800.223  	329.749 	195 MS +95-65    	0.195                        	        	       	B-N     	             
91 	SE     	34	57 	0.0000	           	-50580.130  	433.145 	0.27 S 5         	0.27                         	        	       	B-      	100          
91 	SE     	34	57 	0.0000	           	-50580.130  	433.145 	0.27 S 5         	0.27                         	        	       	B-N     	21           
92 	SE     	34	58 	0.0000	0+         	-46724      	400     	                 	                             	        	       	B-      	100          
93 	SE     	34	59 	0.0000	(1/2+)     	-40860      	400     	                 	                             	        	       	B-      	100          
94 	SE     	34	60 	0.0000	0+         	-36803      	500     	150 NS           	0.00000015                   	        	       	B-      	100          
95 	SE     	34	61 	0.0000	           	-30460      	500     	392 NS           	0.000000392                  	        	       	B-      	             
95 	SE     	34	61 	0.0000	           	-30460      	500     	392 NS           	0.000000392                  	        	       	B-N     	             
95 	SE     	34	61 	0.0000	           	-30460      	500     	392 NS           	0.000000392                  	        	       	B2N     	             
67 	BR     	35	32 	0.0000	           	-32530      	300     	                 	                             	        	       	P       	             
68 	BR     	35	33 	0.0000	           	-38791      	259     	35 NS 5          	0.000000035                  	        	       	        	             
69 	BR     	35	34 	0.0000	(5/2-)     	-46259.478  	42.003  	24 NS            	0.000000024                  	        	       	P       	100          
70 	BR     	35	35 	0.0000	0+         	-51425.627  	14.904  	79.1 MS 8        	0.0791                       	        	       	EC      	100          
71 	BR     	35	36 	0.0000	(5/2)-     	-56502.426  	5.402   	21.4 S 6         	21.4                         	        	       	EC      	100          
72 	BR     	35	37 	0.0000	1+         	-59061.750  	1.025   	78.6 S 24        	78.6                         	        	       	EC      	100          
73 	BR     	35	38 	0.0000	1/2-       	-63645.787  	6.741   	3.4 M 2          	204                          	        	       	EC      	100          
74 	BR     	35	39 	0.0000	(0-)       	-65288.161  	5.835   	25.4 M 3         	1524                         	        	       	EC      	100          
75 	BR     	35	40 	0.0000	3/2-       	-69107.020  	4.285   	96.7 M 13        	5802                         	        	       	EC      	100          
76 	BR     	35	41 	0.0000	1-         	-70289.078  	9.322   	16.2 H 2         	58320                        	        	       	EC      	100          
77 	BR     	35	42 	0.0000	3/2-       	-73234.818  	2.811   	57.04 H 12       	205344                       	        	       	EC      	100          
78 	BR     	35	43 	0.0000	1+         	-73452.168  	3.580   	6.45 M 4         	387                          	        	       	EC      	99.99        
78 	BR     	35	43 	0.0000	1+         	-73452.168  	3.580   	6.45 M 4         	387                          	        	       	B-      	0.01         
79 	BR     	35	44 	0.0000	3/2-       	-76068.067  	1.001   	STABLE           	infinity                     	50.65   	0.09   	        	             
80 	BR     	35	45 	0.0000	1+         	-75889.025  	0.993   	17.68 M 2        	1060.8                       	        	       	B-      	91.7         
80 	BR     	35	45 	0.0000	1+         	-75889.025  	0.993   	17.68 M 2        	1060.8                       	        	       	EC      	8.3          
81 	BR     	35	46 	0.0000	3/2-       	-77977.051  	0.978   	STABLE           	infinity                     	49.35   	0.09   	        	             
82 	BR     	35	47 	0.0000	5-         	-77498.677  	0.971   	35.282 H 7       	127015.2                     	        	       	B-      	100          
83 	BR     	35	48 	0.0000	3/2-       	-79013.721  	3.795   	2.374 H 4        	8546.4                       	        	       	B-      	100          
84 	BR     	35	49 	0.0000	2-         	-77783.094  	25.730  	31.76 M 8        	1905.6                       	        	       	B-      	100          
85 	BR     	35	50 	0.0000	3/2-       	-78575.478  	3.078   	2.90 M 6         	174                          	        	       	B-      	100          
86 	BR     	35	51 	0.0000	(1-)       	-75632.261  	3.078   	55.1 S 4         	55.1                         	        	       	B-      	100          
87 	BR     	35	52 	0.0000	(5/2-)     	-73891.685  	3.171   	55.68 S 12       	55.68                        	        	       	B-      	100          
87 	BR     	35	52 	0.0000	(5/2-)     	-73891.685  	3.171   	55.68 S 12       	55.68                        	        	       	B-N     	2.6          
88 	BR     	35	53 	0.0000	(2-)       	-70715.967  	3.171   	16.34 S 8        	16.34                        	        	       	B-      	100          
88 	BR     	35	53 	0.0000	(2-)       	-70715.967  	3.171   	16.34 S 8        	16.34                        	        	       	B-N     	6.58         
89 	BR     	35	54 	0.0000	(5/2-)     	-68274.271  	3.264   	4.357 S 22       	4.357                        	        	       	B-      	100          
89 	BR     	35	54 	0.0000	(5/2-)     	-68274.271  	3.264   	4.357 S 22       	4.357                        	        	       	B-N     	13.7         
90 	BR     	35	55 	0.0000	           	-64000.306  	3.357   	1.91 S 1         	1.91                         	        	       	B-      	100          
90 	BR     	35	55 	0.0000	           	-64000.306  	3.357   	1.91 S 1         	1.91                         	        	       	B-N     	25.3         
91 	BR     	35	56 	0.0000	           	-61107.301  	3.543   	0.543 S 4        	0.543                        	        	       	B-      	100          
91 	BR     	35	56 	0.0000	           	-61107.301  	3.543   	0.543 S 4        	0.543                        	        	       	B-N     	19.5         
92 	BR     	35	57 	0.0000	           	-56232.812  	6.709   	0.314 S 16       	0.314                        	        	       	B-      	100          
92 	BR     	35	57 	0.0000	           	-56232.812  	6.709   	0.314 S 16       	0.314                        	        	       	B-N     	33.1         
93 	BR     	35	58 	0.0000	(5/2-)     	-52890.235  	430.816 	102 MS 10        	0.102                        	        	       	B-      	100          
93 	BR     	35	58 	0.0000	(5/2-)     	-52890.235  	430.816 	102 MS 10        	0.102                        	        	       	B-N     	68           
94 	BR     	35	59 	0.0000	           	-47650      	200     	70 MS 20         	0.07                         	        	       	B-      	100          
94 	BR     	35	59 	0.0000	           	-47650      	200     	70 MS 20         	0.07                         	        	       	B-N     	68           
95 	BR     	35	60 	0.0000	           	-43850      	300     	150 NS           	0.00000015                   	        	       	B-      	100          
95 	BR     	35	60 	0.0000	           	-43850      	300     	150 NS           	0.00000015                   	        	       	B-N     	34           
96 	BR     	35	61 	0.0000	           	-38210      	300     	150 NS           	0.00000015                   	        	       	B-      	100          
96 	BR     	35	61 	0.0000	           	-38210      	300     	150 NS           	0.00000015                   	        	       	B-N     	27.6         
97 	BR     	35	62 	0.0000	           	-34000      	400     	                 	                             	        	       	B-      	100          
97 	BR     	35	62 	0.0000	           	-34000      	400     	                 	                             	        	       	B2N     	             
97 	BR     	35	62 	0.0000	           	-34000      	400     	                 	                             	        	       	B-N     	             
98 	BR     	35	63 	0.0000	           	-28050      	400     	                 	                             	        	       	B-      	100          
98 	BR     	35	63 	0.0000	           	-28050      	400     	                 	                             	        	       	B2N     	             
98 	BR     	35	63 	0.0000	           	-28050      	400     	                 	                             	        	       	B3N     	             
101	BR     	35	66 	0.0000	           	            	        	                 	                             	        	       	B-      	100          
101	BR     	35	66 	0.0000	           	            	        	                 	                             	        	       	B2N     	             
101	BR     	35	66 	0.0000	           	            	        	                 	                             	        	       	B3N     	             
67 	KR     	36	31 	0.0000	           	-15552      	424     	7.4 MS 30        	0.0074                       	        	       	EC      	63           
67 	KR     	36	31 	0.0000	           	-15552      	424     	7.4 MS 30        	0.0074                       	        	       	EC      	63           
67 	KR     	36	31 	0.0000	           	-15552      	424     	7.4 MS 30        	0.0074                       	        	       	2P      	37           
68 	KR     	36	32 	0.0000	0+         	-25626      	500     	21.6 MS 33       	0.0216                       	        	       	EC      	100          
68 	KR     	36	32 	0.0000	0+         	-25626      	500     	21.6 MS 33       	0.0216                       	        	       	EP      	89           
69 	KR     	36	33 	0.0000	(5/2-)     	-32140      	300     	28 MS 1          	0.028                        	        	       	EC      	100          
69 	KR     	36	33 	0.0000	(5/2-)     	-32140      	300     	28 MS 1          	0.028                        	        	       	EP      	99           
70 	KR     	36	34 	0.0000	0+         	-41100      	200     	40 MS 6          	0.04                         	        	       	EC      	100          
70 	KR     	36	34 	0.0000	0+         	-41100      	200     	40 MS 6          	0.04                         	        	       	EP      	1.3          
71 	KR     	36	35 	0.0000	(5/2)-     	-46327.211  	128.769 	94.9 MS 4        	0.0949                       	        	       	EC      	100          
71 	KR     	36	35 	0.0000	(5/2)-     	-46327.211  	128.769 	94.9 MS 4        	0.0949                       	        	       	EP      	3.06         
72 	KR     	36	36 	0.0000	0+         	-53940.582  	8.011   	17.1 S 2         	17.1                         	        	       	EC      	100          
72 	KR     	36	36 	0.0000	0+         	-53940.582  	8.011   	17.1 S 2         	17.1                         	        	       	EP      	0.000001     
73 	KR     	36	37 	0.0000	(3/2)-     	-56551.758  	6.578   	27.3 S 10        	27.3                         	        	       	EC      	100          
73 	KR     	36	37 	0.0000	(3/2)-     	-56551.758  	6.578   	27.3 S 10        	27.3                         	        	       	EP      	0.25         
74 	KR     	36	38 	0.0000	0+         	-62331.844  	2.013   	11.50 M 11       	690                          	        	       	EC      	100          
75 	KR     	36	39 	0.0000	5/2+       	-64323.632  	8.104   	4.60 M 7         	276                          	        	       	EC      	100          
76 	KR     	36	40 	0.0000	0+         	-69013.706  	4.013   	14.8 H 1         	53280                        	        	       	EC      	100          
77 	KR     	36	41 	0.0000	5/2+       	-70169.451  	1.956   	71.25 M 42       	4275                         	        	       	EC      	100          
78 	KR     	36	42 	0.0000	0+         	-74178.283  	0.307   	STABLE           	infinity                     	0.355   	0.003  	        	             
79 	KR     	36	43 	0.0000	1/2-       	-74442.290  	3.480   	35.04 H 10       	126144                       	        	       	EC      	100          
80 	KR     	36	44 	0.0000	0+         	-77893.455  	0.695   	STABLE           	infinity                     	2.286   	0.010  	        	             
81 	KR     	36	45 	0.0000	7/2+       	-77696.199  	1.074   	2.29E+5 Y 11     	7226536048181.568            	        	       	EC      	100          
82 	KR     	36	46 	0.0000	0+         	-80591.79509	0.00551 	STABLE           	infinity                     	11.593  	0.031  	        	             
83 	KR     	36	47 	0.0000	9/2+       	-79990.643  	0.009   	STABLE           	infinity                     	11.500  	0.019  	        	             
84 	KR     	36	48 	0.0000	0+         	-82439.34527	0.00382 	STABLE           	infinity                     	56.987  	0.015  	        	             
85 	KR     	36	49 	0.0000	9/2+       	-81480.341  	2.000   	10.739 Y 14      	338889828.0411435            	        	       	B-      	100          
86 	KR     	36	50 	0.0000	0+         	-83265.67593	0.00372 	STABLE           	infinity                     	17.279  	0.041  	        	             
87 	KR     	36	51 	0.0000	5/2+       	-80709.531  	0.246   	76.3 M 5         	4578                         	        	       	B-      	100          
88 	KR     	36	52 	0.0000	0+         	-79691.295  	2.608   	2.825 H 19       	10170                        	        	       	B-      	100          
89 	KR     	36	53 	0.0000	3/2(+)     	-76535.795  	2.142   	3.15 M 4         	189                          	        	       	B-      	100          
90 	KR     	36	54 	0.0000	0+         	-74959.259  	1.863   	32.32 S 9        	32.32                        	        	       	B-      	100          
91 	KR     	36	55 	0.0000	5/2(+)     	-70973.974  	2.236   	8.57 S 4         	8.57                         	        	       	B-      	100          
92 	KR     	36	56 	0.0000	0+         	-68769.329  	2.701   	1.840 S 8        	1.84                         	        	       	B-      	100          
92 	KR     	36	56 	0.0000	0+         	-68769.329  	2.701   	1.840 S 8        	1.84                         	        	       	B-N     	0.0332       
93 	KR     	36	57 	0.0000	1/2+       	-64136.002  	2.515   	1.286 S 10       	1.286                        	        	       	B-      	100          
93 	KR     	36	57 	0.0000	1/2+       	-64136.002  	2.515   	1.286 S 10       	1.286                        	        	       	B-N     	1.95         
94 	KR     	36	58 	0.0000	0+         	-61347.780  	12.109  	212 MS 5         	0.212                        	        	       	B-      	100          
94 	KR     	36	58 	0.0000	0+         	-61347.780  	12.109  	212 MS 5         	0.212                        	        	       	B-N     	1.11         
95 	KR     	36	59 	0.0000	1/2(+)     	-56158.920  	18.630  	0.114 S 3        	0.114                        	        	       	B-      	100          
95 	KR     	36	59 	0.0000	1/2(+)     	-56158.920  	18.630  	0.114 S 3        	0.114                        	        	       	B-N     	2.87         
96 	KR     	36	60 	0.0000	0+         	-53081.682  	19.277  	80 MS 8          	0.08                         	        	       	B-      	100          
96 	KR     	36	60 	0.0000	0+         	-53081.682  	19.277  	80 MS 8          	0.08                         	        	       	B-N     	3.7          
97 	KR     	36	61 	0.0000	(3/2+)     	-47423.499  	130.409 	63 MS 4          	0.063                        	        	       	B-      	100          
97 	KR     	36	61 	0.0000	(3/2+)     	-47423.499  	130.409 	63 MS 4          	0.063                        	        	       	B-N     	6.7          
98 	KR     	36	62 	0.0000	0+         	-44120      	300     	43 MS 4          	0.043                        	        	       	B-      	100          
98 	KR     	36	62 	0.0000	0+         	-44120      	300     	43 MS 4          	0.043                        	        	       	B-N     	7            
98 	KR     	36	62 	0.0000	0+         	-44120      	300     	43 MS 4          	0.043                        	        	       	B2N     	             
99 	KR     	36	63 	0.0000	           	-38400      	400     	13 MS +34-6      	0.013                        	        	       	B-      	100          
99 	KR     	36	63 	0.0000	           	-38400      	400     	13 MS +34-6      	0.013                        	        	       	B-N     	11           
100	KR     	36	64 	0.0000	0+         	-34470      	400     	7 MS +11-3       	0.007                        	        	       	B-      	100          
100	KR     	36	64 	0.0000	0+         	-34470      	400     	7 MS +11-3       	0.007                        	        	       	B-N     	             
100	KR     	36	64 	0.0000	0+         	-34470      	400     	7 MS +11-3       	0.007                        	        	       	B2N     	             
101	KR     	36	65 	0.0000	           	-28580      	500     	635 NS           	0.000000635                  	        	       	B-      	             
101	KR     	36	65 	0.0000	           	-28580      	500     	635 NS           	0.000000635                  	        	       	B-N     	             
101	KR     	36	65 	0.0000	           	-28580      	500     	635 NS           	0.000000635                  	        	       	B2N     	             
102	KR     	36	66 	0.0000	0+         	            	        	                 	                             	        	       	B-      	100          
102	KR     	36	66 	0.0000	0+         	            	        	                 	                             	        	       	B-N     	             
102	KR     	36	66 	0.0000	0+         	            	        	                 	                             	        	       	B2N     	             
72 	RB     	37	35 	0.0000	           	-38330      	500     	103 NS 22        	0.000000103                  	        	       	P       	             
72 	RB     	37	35 	0.0000	           	-38330      	500     	103 NS 22        	0.000000103                  	        	       	EC      	             
73 	RB     	37	36 	0.0000	(3/2-)     	-46011.611  	40.794  	81 NS            	0.000000081                  	        	       	P       	             
73 	RB     	37	36 	0.0000	(3/2-)     	-46011.611  	40.794  	81 NS            	0.000000081                  	        	       	EC      	             
74 	RB     	37	37 	0.0000	0+         	-51916.016  	3.027   	64.776 MS 30     	0.064776                     	        	       	EC      	100          
75 	RB     	37	38 	0.0000	3/2(-)     	-57218.702  	1.180   	19.0 S 12        	19                           	        	       	EC      	100          
76 	RB     	37	39 	0.0000	1(-)       	-60479.089  	0.938   	36.5 S 6         	36.5                         	        	       	EC      	100          
76 	RB     	37	39 	0.0000	1(-)       	-60479.089  	0.938   	36.5 S 6         	36.5                         	        	       	EA      	0.00000038   
77 	RB     	37	40 	0.0000	3/2-       	-64830.500  	1.304   	3.78 M 4         	226.8                        	        	       	EC      	100          
78 	RB     	37	41 	0.0000	0(+)       	-66935.427  	3.237   	17.66 M 3        	1059.6                       	        	       	EC      	100          
79 	RB     	37	42 	0.0000	5/2+       	-70802.778  	1.943   	22.9 M 5         	1374                         	        	       	EC      	100          
80 	RB     	37	43 	0.0000	1+         	-72175.476  	1.863   	33.4 S 7         	33.4                         	        	       	EC      	100          
81 	RB     	37	44 	0.0000	3/2-       	-75456.704  	4.904   	4.572 H 4        	16459.2                      	        	       	EC      	100          
82 	RB     	37	45 	0.0000	1+         	-76187.813  	3.009   	1.2575 M 2       	75.45                        	        	       	EC      	100          
83 	RB     	37	46 	0.0000	5/2-       	-79070.639  	2.329   	86.2 D 1         	7447680                      	        	       	EC      	100          
84 	RB     	37	47 	0.0000	2-         	-79758.975  	2.194   	32.82 D 7        	2835648                      	        	       	EC      	96.1         
84 	RB     	37	47 	0.0000	2-         	-79758.975  	2.194   	32.82 D 7        	2835648                      	        	       	B-      	3.9          
85 	RB     	37	48 	0.0000	5/2-       	-82167.34065	0.00500 	STABLE           	infinity                     	72.17   	0.02   	        	             
86 	RB     	37	49 	0.0000	2-         	-82747.003  	0.200   	18.642 D 18      	1610668.8                    	        	       	B-      	99.9948      
86 	RB     	37	49 	0.0000	2-         	-82747.003  	0.200   	18.642 D 18      	1610668.8                    	        	       	EC      	0.0052       
87 	RB     	37	50 	0.0000	3/2-       	-84597.802  	0.006   	4.97E+10 Y 3     	1.5683792209372224e18        	27.83   	0.02   	B-      	100          
88 	RB     	37	51 	0.0000	2-         	-82609.004  	0.159   	17.773 M 18      	1066.38                      	        	       	B-      	100          
89 	RB     	37	52 	0.0000	3/2-       	-81712.399  	5.427   	15.32 M 10       	919.2                        	        	       	B-      	100          
90 	RB     	37	53 	0.0000	0-         	-79365.573  	6.452   	158 S 5          	158                          	        	       	B-      	100          
91 	RB     	37	54 	0.0000	3/2(-)     	-77745.049  	7.801   	58.2 S 3         	58.2                         	        	       	B-      	100          
92 	RB     	37	55 	0.0000	0-         	-74772.450  	6.123   	4.48 S 3         	4.48                         	        	       	B-      	100          
92 	RB     	37	55 	0.0000	0-         	-74772.450  	6.123   	4.48 S 3         	4.48                         	        	       	B-N     	0.0107       
93 	RB     	37	56 	0.0000	5/2-       	-72619.900  	7.830   	5.84 S 2         	5.84                         	        	       	B-      	100          
93 	RB     	37	56 	0.0000	5/2-       	-72619.900  	7.830   	5.84 S 2         	5.84                         	        	       	B-N     	1.39         
94 	RB     	37	57 	0.0000	3(-)       	-68562.791  	2.029   	2.702 S 5        	2.702                        	        	       	B-      	100          
94 	RB     	37	57 	0.0000	3(-)       	-68562.791  	2.029   	2.702 S 5        	2.702                        	        	       	B-N     	10.5         
95 	RB     	37	58 	0.0000	5/2-       	-65890.307  	20.245  	377.7 MS 8       	0.3777                       	        	       	B-      	100          
95 	RB     	37	58 	0.0000	5/2-       	-65890.307  	20.245  	377.7 MS 8       	0.3777                       	        	       	B-N     	8.7          
96 	RB     	37	59 	0.0000	2(-)       	-61354.351  	3.353   	203 MS 3         	0.203                        	        	       	B-      	100          
96 	RB     	37	59 	0.0000	2(-)       	-61354.351  	3.353   	203 MS 3         	0.203                        	        	       	B-N     	13.3         
97 	RB     	37	60 	0.0000	3/2+       	-58519.145  	1.912   	169.1 MS 6       	0.1691                       	        	       	B-      	100          
97 	RB     	37	60 	0.0000	3/2+       	-58519.145  	1.912   	169.1 MS 6       	0.1691                       	        	       	B-N     	25.5         
97 	RB     	37	60 	0.0000	3/2+       	-58519.145  	1.912   	169.1 MS 6       	0.1691                       	        	       	B2N     	             
98 	RB     	37	61 	0.0000	0(-)       	-54369.152  	16.083  	115 MS 6         	0.115                        	        	       	B-      	100          
98 	RB     	37	61 	0.0000	0(-)       	-54369.152  	16.083  	115 MS 6         	0.115                        	        	       	B-N     	14.3         
98 	RB     	37	61 	0.0000	0(-)       	-54369.152  	16.083  	115 MS 6         	0.115                        	        	       	B2N     	0.054        
99 	RB     	37	62 	0.0000	(3/2+)     	-51121.150  	4.031   	54 MS 4          	0.054                        	        	       	B-      	100          
99 	RB     	37	62 	0.0000	(3/2+)     	-51121.150  	4.031   	54 MS 4          	0.054                        	        	       	B-N     	19.8         
99 	RB     	37	62 	0.0000	(3/2+)     	-51121.150  	4.031   	54 MS 4          	0.054                        	        	       	B2N     	             
100	RB     	37	63 	0.0000	(4-)       	-46265.884  	13.124  	52 MS 2          	0.052                        	        	       	B-      	100          
100	RB     	37	63 	0.0000	(4-)       	-46265.884  	13.124  	52 MS 2          	0.052                        	        	       	B-N     	5.6          
100	RB     	37	63 	0.0000	(4-)       	-46265.884  	13.124  	52 MS 2          	0.052                        	        	       	B2N     	0.15         
101	RB     	37	64 	0.0000	(3/2+)     	-42567.417  	20.493  	32 MS 5          	0.032                        	        	       	B-      	100          
101	RB     	37	64 	0.0000	(3/2+)     	-42567.417  	20.493  	32 MS 5          	0.032                        	        	       	B-N     	28           
102	RB     	37	65 	0.0000	           	-37252.312  	82.903  	37 MS 5          	0.037                        	        	       	B-      	100          
102	RB     	37	65 	0.0000	           	-37252.312  	82.903  	37 MS 5          	0.037                        	        	       	B-N     	18           
103	RB     	37	66 	0.0000	           	-33160      	400     	23 MS +13-9      	0.023                        	        	       	B-      	100          
103	RB     	37	66 	0.0000	           	-33160      	400     	23 MS +13-9      	0.023                        	        	       	B-N     	             
103	RB     	37	66 	0.0000	           	-33160      	400     	23 MS +13-9      	0.023                        	        	       	B2N     	             
104	RB     	37	67 	0.0000	           	-27450      	500     	                 	                             	        	       	B-      	100          
104	RB     	37	67 	0.0000	           	-27450      	500     	                 	                             	        	       	B-N     	             
104	RB     	37	67 	0.0000	           	-27450      	500     	                 	                             	        	       	B2N     	             
105	RB     	37	68 	0.0000	           	            	        	                 	                             	        	       	B-      	100          
105	RB     	37	68 	0.0000	           	            	        	                 	                             	        	       	B-N     	             
105	RB     	37	68 	0.0000	           	            	        	                 	                             	        	       	B2N     	             
106	RB     	37	69 	0.0000	           	            	        	                 	                             	        	       	B-      	100          
106	RB     	37	69 	0.0000	           	            	        	                 	                             	        	       	B3N     	             
106	RB     	37	69 	0.0000	           	            	        	                 	                             	        	       	B2N     	             
73 	SR     	38	35 	0.0000	           	-31950      	401     	25 MS            	0.025                        	        	       	EC      	100          
73 	SR     	38	35 	0.0000	           	-31950      	401     	25 MS            	0.025                        	        	       	EP      	             
74 	SR     	38	36 	0.0000	0+         	-40827      	100     	27 MS 8          	0.027                        	        	       	EC      	100          
74 	SR     	38	36 	0.0000	0+         	-40827      	100     	27 MS 8          	0.027                        	        	       	EP      	             
75 	SR     	38	37 	0.0000	(3/2-)     	-46618.702  	220.003 	88 MS 3          	0.088                        	        	       	EC      	100          
75 	SR     	38	37 	0.0000	(3/2-)     	-46618.702  	220.003 	88 MS 3          	0.088                        	        	       	EP      	5.2          
76 	SR     	38	38 	0.0000	0+         	-54247.645  	34.465  	7.89 S 7         	7.89                         	        	       	EC      	100          
76 	SR     	38	38 	0.0000	0+         	-54247.645  	34.465  	7.89 S 7         	7.89                         	        	       	EP      	0.000034     
77 	SR     	38	39 	0.0000	5/2(+)     	-57803.443  	7.918   	9.0 S 2          	9                            	        	       	EC      	100          
77 	SR     	38	39 	0.0000	5/2(+)     	-57803.443  	7.918   	9.0 S 2          	9                            	        	       	EP      	0.08         
78 	SR     	38	40 	0.0000	0+         	-63173.949  	7.452   	160 S 8          	160                          	        	       	EC      	100          
79 	SR     	38	41 	0.0000	3/2(-)     	-65479.664  	7.421   	2.25 M 10        	135                          	        	       	EC      	100          
80 	SR     	38	42 	0.0000	0+         	-70311.467  	3.464   	106.3 M 15       	6378                         	        	       	EC      	100          
81 	SR     	38	43 	0.0000	1/2-       	-71528.134  	3.128   	22.3 M 4         	1338                         	        	       	EC      	100          
82 	SR     	38	44 	0.0000	0+         	-76010.062  	5.992   	25.35 D 3        	2190240                      	        	       	EC      	100          
83 	SR     	38	45 	0.0000	7/2+       	-76797.616  	6.834   	32.41 H 3        	116676                       	        	       	EC      	100          
84 	SR     	38	46 	0.0000	0+         	-80649.580  	1.243   	STABLE           	infinity                     	00.56   	0.02   	        	             
85 	SR     	38	47 	0.0000	9/2+       	-81103.290  	2.813   	64.849 D 7       	5602953.6                    	        	       	EC      	100          
86 	SR     	38	48 	0.0000	0+         	-84523.09977	0.00524 	STABLE           	infinity                     	9.86    	0.20   	        	             
87 	SR     	38	49 	0.0000	9/2+       	-84880.07643	0.00513 	STABLE           	infinity                     	7.00    	0.20   	        	             
88 	SR     	38	50 	0.0000	0+         	-87921.62876	0.00561 	STABLE           	infinity                     	82.58   	0.35   	        	             
89 	SR     	38	51 	0.0000	5/2+       	-86209.026  	0.092   	50.563 D 25      	4368643.2                    	        	       	B-      	100          
90 	SR     	38	52 	0.0000	0+         	-85950.945  	1.449   	28.91 Y 3        	912310729.9254547            	        	       	B-      	100          
91 	SR     	38	53 	0.0000	5/2+       	-83651.950  	5.453   	9.65 H 6         	34740                        	        	       	B-      	100          
92 	SR     	38	54 	0.0000	0+         	-82867.371  	3.423   	2.611 H 17       	9399.6                       	        	       	B-      	100          
93 	SR     	38	55 	0.0000	5/2+       	-80085.844  	7.554   	7.43 M 3         	445.8                        	        	       	B-      	100          
94 	SR     	38	56 	0.0000	0+         	-78845.721  	1.663   	75.3 S 2         	75.3                         	        	       	B-      	100          
95 	SR     	38	57 	0.0000	1/2+       	-75117.284  	5.810   	23.90 S 14       	23.9                         	        	       	B-      	100          
96 	SR     	38	58 	0.0000	0+         	-72918.248  	8.466   	1.07 S 1         	1.07                         	        	       	B-      	100          
97 	SR     	38	59 	0.0000	1/2+       	-68580.674  	3.385   	429 MS 5         	0.429                        	        	       	B-      	100          
97 	SR     	38	59 	0.0000	1/2+       	-68580.674  	3.385   	429 MS 5         	0.429                        	        	       	B-N     	0.05         
98 	SR     	38	60 	0.0000	0+         	-66422.389  	3.226   	0.653 S 2        	0.653                        	        	       	B-      	100          
98 	SR     	38	60 	0.0000	0+         	-66422.389  	3.226   	0.653 S 2        	0.653                        	        	       	B-N     	0.23         
99 	SR     	38	61 	0.0000	3/2+       	-62518.527  	4.737   	0.269 S 1        	0.269                        	        	       	B-      	100          
99 	SR     	38	61 	0.0000	3/2+       	-62518.527  	4.737   	0.269 S 1        	0.269                        	        	       	B-N     	0.1          
100	SR     	38	62 	0.0000	0+         	-59817.505  	6.918   	200 MS 2         	0.2                          	        	       	B-      	100          
