A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1736.92  	17 	       	   	0.0035    	4   	6.1E-5     	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1741.51  	10 	       	   	0.142     	10  	0.00247    	17 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1756.42  	11 	       	   	0.0385    	21  	6.8E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1758.90  	12 	       	   	0.0037    	4   	6.6E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1759.34  	13 	       	   	0.00139   	15  	2.5E-5     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1768.52  	10 	       	   	0.275     	12  	0.00487    	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1769.93  	41 	       	   	0.045     	4   	8.0E-4     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1770.02  	10 	       	   	0.050     	7   	8.9E-4     	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1772.95  	59 	       	   	0.0037    	3   	6.6E-5     	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1774.80  	10 	       	   	0.0206    	13  	3.66E-4    	23 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1776.22  	11 	       	   	0.067     	9   	0.00119    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1781.37  	40 	       	   	0.0072    	5   	1.28E-4    	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1782.38  	11 	       	   	0.0095    	4   	1.70E-4    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1787.81  	11 	       	   	0.570     	19  	0.0102     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1787.99  	32 	       	   	0.059     	5   	0.00105    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1796.56  	21 	       	   	0.00286   	23  	5.1E-5     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1802.65  	11 	       	   	0.0297    	21  	5.4E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1803.44  	13 	       	   	0.0054    	5   	9.8E-5     	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1812.92  	12 	       	   	0.037     	10  	6.7E-4     	17 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1816.71  	12 	       	   	0.0400    	21  	7.3E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1817.96  	19 	       	   	0.0054    	7   	9.7E-5     	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1819.27  	12 	       	   	0.0098    	8   	1.78E-4    	15 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1828.22  	39 	       	   	0.056     	17  	0.0010     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1830.80  	15 	       	   	0.0203    	17  	3.7E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1833.61  	25 	       	   	0.0134    	11  	2.46E-4    	19 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1833.87  	10 	       	   	0.109     	5   	0.00199    	10 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1845.58  	16 	       	   	0.145     	13  	0.00267    	24 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1848.72  	72 	       	   	0.0379    	22  	7.0E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1853.64  	9  	       	   	17.0      	8   	0.316      	15 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1861.17  	12 	       	   	0.0050    	4   	9.3E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1862.81  	13 	       	   	0.0109    	8   	2.02E-4    	15 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1867.35  	10 	       	   	0.155     	15  	0.0029     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1870.24  	15 	       	   	0.073     	4   	0.00137    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1875.23  	16 	       	   	0.0023    	9   	4.3E-5     	17 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1879.55  	12 	       	   	0.091     	5   	0.00171    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1888.95  	36 	       	   	0.0188    	12  	3.55E-4    	22 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1889.77  	11 	       	   	0.0141    	11  	2.66E-4    	20 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1896.96  	34 	       	   	0.0016    	4   	3.1E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1906.26  	35 	       	   	0.0023    	4   	4.3E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1911.10  	12 	       	   	0.0068    	7   	1.30E-4    	14 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1918.41  	45 	       	   	0.0044    	4   	8.4E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1921.1   	12 	       	   	0.0026    	10  	4.9E-5     	20 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1922.89  	10 	       	   	0.051     	3   	9.8E-4     	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1929.05  	11 	       	   	0.0260    	14  	5.0E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1936.77  	10 	       	   	0.034     	3   	6.6E-4     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1944.18  	10 	       	   	0.480     	22  	0.0093     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1948.48  	19 	       	   	0.0040    	3   	7.7E-5     	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1955.77  	11 	       	   	0.286     	16  	0.0056     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1963.00  	34 	       	   	0.0079    	8   	1.56E-4    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1976.16  	19 	       	   	0.0076    	6   	1.49E-4    	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1982.31  	46 	       	   	0.024     	4   	4.8E-4     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1982.95  	56 	       	   	0.0040    	10  	7.9E-5     	19 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	1999.74  	10 	       	   	0.082     	4   	0.00164    	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2003.79  	20 	       	   	0.0081    	6   	1.63E-4    	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2008.33  	83 	       	   	0.00161   	22  	3.2E-5     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2017.14  	46 	       	   	0.00184   	22  	3.7E-5     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2028.04  	54 	       	   	0.0133    	13  	2.7E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2045.49  	70 	       	   	0.170     	8   	0.00348    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2047.10  	21 	       	   	0.073     	6   	0.00150    	13 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2051.79  	23 	       	   	0.0123    	8   	2.53E-4    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2072.05  	22 	       	   	0.063     	5   	0.00131    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2087.00  	28 	       	   	8.1E-4    	7   	1.69E-5    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2096.63  	20 	       	   	1.50      	8   	0.0314     	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2103.93  	60 	       	   	0.0054    	15  	1.1E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2111.11  	20 	       	   	2.64      	11  	0.0556     	24 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2121.95  	38 	       	   	0.0103    	13  	2.2E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2127.69  	20 	       	   	0.175     	15  	0.0037     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2135.63  	8  	       	   	0.98      	10  	0.0208     	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2139.93  	26 	       	   	0.0066    	3   	1.41E-4    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2142.50  	21 	       	   	0.0120    	8   	2.56E-4    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2152.17  	35 	       	   	0.0046    	13  	1.0E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2160.80  	41 	       	   	0.0036    	13  	8.E-5      	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2174.66  	30 	       	   	0.0075    	5   	1.63E-4    	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2183.01  	20 	       	   	0.185     	9   	0.00404    	19 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2226.68  	20 	       	   	0.062     	6   	0.00138    	13 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2229.91  	22 	       	   	0.0239    	18  	5.3E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2239.60  	24 	       	   	0.0048    	6   	1.08E-4    	13 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2250.64  	23 	       	   	0.00132   	22  	3.0E-5     	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2253.38  	26 	       	   	0.044     	5   	9.9E-4     	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2258.06  	23 	       	   	0.0079    	4   	1.79E-4    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2258.55  	63 	       	   	0.055     	3   	0.00125    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2267.05  	20 	       	   	0.0081    	7   	1.85E-4    	15 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2284.54  	24 	       	   	0.0085    	7   	1.95E-4    	17 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2296.07  	26 	       	   	0.0128    	4   	2.93E-4    	10 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2298.95  	22 	       	   	0.0164    	11  	3.78E-4    	25 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2310.65  	25 	       	   	0.097     	5   	0.00224    	11 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2310.69  	27 	       	   	0.039     	5   	9.1E-4     	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2337.37  	26 	       	   	0.0262    	15  	6.1E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2339.53  	21 	       	   	0.073     	3   	0.00172    	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2356.89  	21 	       	   	0.0030    	4   	7.1E-5     	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2364.10  	23 	       	   	0.0168    	11  	4.0E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2365.29  	27 	       	   	0.0109    	16  	2.6E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2383.45  	20 	       	   	0.062     	10  	0.00149    	23 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2386.77  	33 	       	   	0.118     	14  	0.0028     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2391.32  	6  	       	   	5.16      	22  	0.123      	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2411.79  	20 	       	   	0.0421    	22  	0.00101    	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2416.30  	21 	       	   	0.0054    	5   	1.31E-4    	13 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2421.08  	20 	       	   	0.0285    	15  	6.9E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2429.68  	20 	       	   	0.045     	4   	0.00109    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2431.38  	24 	       	   	0.0286    	16  	7.0E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2436.05  	27 	       	   	0.0101    	8   	2.45E-4    	20 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2454.00  	52 	       	   	0.0150    	12  	3.7E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2462.82  	20 	       	   	0.032     	3   	7.9E-4     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2470.0   	11 	       	   	0.0050    	4   	1.23E-4    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2482.60  	20 	       	   	0.125     	6   	0.00310    	14 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2510.86  	8  	       	   	1.89      	9   	0.0475     	24 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2515.16  	59 	       	   	0.161     	7   	0.00404    	18 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2546.97  	20 	       	   	0.065     	4   	0.00167    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2601.36  	20 	       	   	0.76      	3   	0.0197     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2604.10  	41 	       	   	0.00154   	8   	4.01E-5    	20 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2624.11  	20 	       	   	0.0291    	17  	7.6E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2633.31  	25 	       	   	0.0044    	6   	1.16E-4    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2650.64  	44 	       	   	0.0066    	10  	1.8E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2655.93  	21 	       	   	0.115     	6   	0.00306    	15 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2660.91  	40 	       	   	0.108     	21  	0.0029     	5  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2670.57  	38 	       	   	0.0060    	8   	1.61E-4    	22 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2677.57  	28 	       	   	0.0025    	3   	6.7E-5     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2698.18  	21 	       	   	0.0112    	13  	3.0E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2699.08  	20 	       	   	0.029     	3   	7.8E-4     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2709.26  	20 	       	   	0.0289    	22  	7.8E-4     	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2714.09  	20 	       	   	0.043     	3   	0.00117    	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2722.99  	21 	       	   	0.0072    	7   	1.96E-4    	20 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2737.07  	24 	       	   	0.0178    	10  	4.9E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2746.09  	47 	       	   	0.0044    	7   	1.21E-4    	18 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2754.54  	20 	       	   	0.0194    	20  	5.3E-4     	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2792.72  	6  	       	   	6.1       	3   	0.171      	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2808.17  	22 	       	   	0.0526    	23  	0.00148    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2815.79  	34 	       	   	0.0092    	15  	2.6E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2817.20  	28 	       	   	5.1E-4    	7   	1.45E-5    	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2829.99  	24 	       	   	2.2E-4    	7   	6.2E-6     	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2830.11  	23 	       	   	0.0052    	3   	1.47E-4    	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2835.30  	45 	       	   	0.0022    	3   	6.2E-5     	8  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2869.71  	22 	       	   	0.0237    	12  	6.8E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2900.53  	20 	       	   	0.451     	20  	0.0131     	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2907.28  	24 	       	   	0.047     	9   	0.0014     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2950.54  	5  	       	   	9.4       	4   	0.277      	12 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2983.39  	20 	       	   	0.0345    	20  	0.00103    	6  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2989.94  	69 	       	   	0.0094    	15  	2.8E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2994.27  	20 	       	   	0.075     	5   	0.00224    	14 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	2997.40  	8  	       	   	1.12      	5   	0.0337     	14 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3042.4   	15 	       	   	0.0055    	5   	1.67E-4    	16 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3045.51  	20 	       	   	0.042     	5   	0.00127    	14 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3052.38  	26 	       	   	0.021     	3   	6.5E-4     	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3070.08  	20 	       	   	0.0110    	7   	3.38E-4    	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3078.56  	21 	       	   	0.0161    	8   	4.95E-4    	24 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3082.92  	21 	       	   	0.0108    	13  	3.3E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3092.95  	20 	       	   	0.123     	8   	0.00379    	24 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3131.30  	56 	       	   	0.0056    	3   	1.75E-4    	10 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3150.67  	26 	       	   	0.0015    	3   	4.9E-5     	9  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3157.64  	20 	       	   	0.174     	8   	0.0055     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3195.52  	20 	       	   	0.0196    	13  	6.3E-4     	4  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3221.81  	20 	       	   	0.0115    	7   	3.71E-4    	22 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3235.88  	22 	       	   	0.00374   	23  	1.21E-4    	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3257.58  	21 	       	   	0.0051    	3   	1.67E-4    	10 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3296.14  	20 	       	   	0.0081    	3   	2.69E-4    	11 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3307.29  	21 	       	   	0.0085    	9   	2.8E-4     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3315.98  	52 	       	   	0.00242   	22  	8.0E-5     	7  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3351.94  	22 	       	   	0.189     	8   	0.0063     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3356.87  	20 	       	   	0.101     	5   	0.00340    	18 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3364.74  	32 	       	   	0.0083    	7   	2.79E-4    	23 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3366.2   	19 	       	   	0.0107    	6   	3.61E-4    	21 
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3371.00  	20 	       	   	0.114     	8   	0.0038     	3  
76 	BR     	35	41 	0.0        	    	1-        	EC+B+   	16.14 H 20    	58104             	76SE    	G        	           	3386.81  	22 	       	   	0.0043    	3   	1.44E-4    	10 
