A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
15 	C      	6 	9  	0          	    	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	           	6322.35  	2  	       	   	0.0055    	20  	3.5E-4     	13 
15 	C      	6 	9  	0          	    	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	           	7298.92  	2  	       	   	0.0095    	10  	6.9E-4     	7  
15 	C      	6 	9  	0          	    	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	           	8310.15  	3  	       	   	0.032     	4   	0.0027     	3  
15 	C      	6 	9  	0          	    	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	           	8568.77  	12 	       	   	0.0043    	7   	3.7E-4     	6  
15 	C      	6 	9  	0          	    	1/2+      	B-      	2.449 S 5     	2.449             	15N     	G        	           	9046.78  	7  	       	   	0.031     	3   	0.0028     	3  
12 	N      	7 	5  	0.0        	    	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	XR ka1     	0.277    	   	       	   	8.E-9     	6   	2.2E-14    	17 
12 	N      	7 	5  	0.0        	    	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	XR ka2     	0.277    	   	       	   	4.E-9     	3   	1.0E-14    	8  
12 	N      	7 	5  	0.0        	    	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	Annihil.   	511.0    	   	       	   	200.01    	13  	           	   
12 	N      	7 	5  	0.0        	    	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	           	3213.8   	   	       	   	5.90E-4   	20  	1.90E-5    	6  
12 	N      	7 	5  	0.0        	    	1+        	B+      	11.000 MS 16  	0.011             	12C     	G        	           	4438.91  	   	       	   	1.90      	3   	0.0843     	13 
13 	N      	7 	6  	0          	    	1/2-      	EC      	9.9584 M 36   	597.504           	13C     	G        	XR ka1     	0.277    	   	       	   	3.5E-4    	15  	1.0E-9     	4  
13 	N      	7 	6  	0          	    	1/2-      	EC      	9.9584 M 36   	597.504           	13C     	G        	XR ka2     	0.277    	   	       	   	1.6E-4    	7   	4.5E-10    	20 
13 	N      	7 	6  	0          	    	1/2-      	EC      	9.9584 M 36   	597.504           	13C     	G        	Annihil.   	511.0    	   	       	   	199.606   	10  	           	   
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	XR ka1     	0.525    	   	       	   	8.E-4     	3   	4.0E-9     	16 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	XR ka2     	0.525    	   	       	   	3.9E-4    	15  	2.1E-9     	8  
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	787.2    	6  	       	   	1.5E-6    	15  	1.2E-8     	12 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	867.7    	1  	       	   	2.100E-4  	20  	1.822E-6   	17 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	986.93   	15 	       	   	0.0034    	8   	3.4E-5     	8  
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	1067.5   	10 	       	   	1.5E-5    	15  	1.6E-7     	16 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	1754.9   	6  	       	   	0.121     	10  	0.00212    	18 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	1954.7   	8  	       	   	0.038     	6   	7.4E-4     	12 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	2741.5   	5  	       	   	0.82      	6   	0.0225     	16 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	2822.2   	12 	       	   	0.13      	4   	0.0037     	11 
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	6128.63  	4  	       	   	67.0      	6   	4.11       	4  
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	6915.5   	6  	       	   	0.038     	6   	0.0026     	4  
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	7115.15  	14 	       	   	4.9       	4   	0.35       	3  
16 	N      	7 	9  	0          	    	2-        	B-      	7.13 S 2      	7.13              	16O     	G        	           	8869.3   	5  	       	   	0.076     	10  	0.0067     	9  
13 	O      	8 	5  	0          	    	3/2-      	EC      	8.58 MS 5     	0.00858           	13N     	G        	XR ka1     	0.392    	   	       	   	7.E-7     	3   	2.6E-12    	10 
13 	O      	8 	5  	0          	    	3/2-      	EC      	8.58 MS 5     	0.00858           	13N     	G        	XR ka2     	0.392    	   	       	   	3.2E-7    	13  	1.2E-12    	5  
13 	O      	8 	5  	0          	    	3/2-      	EC      	8.58 MS 5     	0.00858           	13N     	G        	Annihil.   	511.0    	   	       	   	200       	6   	           	   
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	XR ka1     	0.392    	   	       	   	4.0E-4    	16  	1.6E-9     	6  
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	XR ka2     	0.392    	   	       	   	2.0E-4    	8   	8.E-10     	3  
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	Annihil.   	511.0    	   	       	   	199.76    	3   	           	   
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	           	1635.20  	20 	       	   	0.0520    	20  	8.5E-4     	3  
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	           	2312.593 	11 	       	   	99.388    	11  	2.2984     	3  
14 	O      	8 	6  	0          	    	0+        	B+      	70.606 S 18   	70.606            	14N     	G        	           	3947.50  	20 	       	   	0.00211   	13  	8.3E-5     	5  
15 	O      	8 	7  	0          	    	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	XR ka1     	0.392    	   	       	   	3.3E-4    	13  	1.3E-9     	5  
15 	O      	8 	7  	0          	    	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	XR ka2     	0.392    	   	       	   	1.6E-4    	7   	6.E-10     	3  
15 	O      	8 	7  	0          	    	1/2-      	B+      	122.24 S 16   	122.24            	15N     	G        	Annihil.   	511.0    	   	       	   	199.8006  	20  	           	   
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	109.894  	5  	       	   	2.54      	10  	0.00279    	11 
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	197.142  	4  	       	   	95.9      	21  	0.189      	4  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	1149     	   	       	   	5E-4      	    	5.745E-6   	   
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	1236     	   	       	   	0.0170    	20  	2.10E-4    	25 
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	1356.843 	8  	       	   	50.4      	11  	0.684      	15 
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	1444.085 	10 	       	   	2.64      	6   	0.0381     	9  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	1553.970 	8  	       	   	1.39      	3   	0.0216     	5  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	2353.98  	26 	       	   	0.00181   	23  	4.3E-5     	5  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	2582.517 	33 	       	   	0.0189    	5   	4.88E-4    	13 
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	3710.64  	20 	       	   	0.00110   	15  	4.1E-5     	6  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	3797.87  	20 	       	   	0.00133   	14  	5.1E-5     	5  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	3907.74  	20 	       	   	0.00384   	17  	1.50E-4    	7  
19 	O      	8 	11 	0          	    	5/2+      	B-      	26.88 S 5     	26.88             	19F     	G        	           	4180.063 	41 	       	   	0.0792    	17  	0.00331    	7  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	325.73   	14 	       	   	1.0E-4    	10  	3.E-7      	3  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	653.2    	3  	       	   	1.0E-4    	10  	7.E-7      	7  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	656.00   	3  	       	   	2.0E-4    	20  	1.3E-6     	13 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	983.53   	4  	       	   	0.00110   	20  	1.08E-5    	20 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	1056.78  	3  	       	   	99.975    	3   	1.05652    	4  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	1187.70  	6  	       	   	1.0E-4    	10  	1.2E-6     	12 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	1309.17  	3  	       	   	0.00230   	10  	3.01E-5    	13 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	1644.50  	8  	       	   	0.00200   	20  	3.3E-5     	3  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	1843.74  	3  	       	   	0.00180   	10  	3.32E-5    	18 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	2179.09  	4  	       	   	0.00250   	20  	5.4E-5     	4  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	2431.43  	99 	       	   	0.0019    	8   	4.6E-5     	19 
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	2504.54  	18 	       	   	1.00E-3   	10  	2.5E-5     	3  
20 	O      	8 	12 	0          	    	0+        	B-      	13.51 S 5     	13.51             	20F     	G        	           	3488.13  	4  	       	   	0.020     	7   	6.8E-4     	24 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	279.92   	6  	       	   	14.8      	6   	0.0414     	16 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	933.2    	3  	       	   	5.8       	6   	0.054      	5  
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1450.5   	2  	       	   	9.8       	6   	0.143      	8  
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1729.2   	   	       	   	4.1       	5   	0.071      	10 
21 	O      	8 	13 	0.0        	    	(5/2+)    	B-      	3.42 S 10     	3.42              	21F     	G        	           	1730.28  	8  	       	   	45.6      	8   	0.789      	14 
